ip,date,Sent,sicmp,sudp,stcp,sftp,shttp,ssmtp,Received,ricmp,rudp,rtcp,rftp,rhttp,rsmtp
62,1525041232,7700,0,229,7471,0,7471,0,28028,0,0,28028,0,28028,0
190,1525041232,382,0,229,153,0,153,0,165,0,0,165,0,165,0
63,1525041232,463,0,463,0,0,0,0,0,0,0,0,0,0,0
58,1525041232,3178,0,0,3178,0,3178,0,4547,0,0,4547,0,4547,0
54,1525041232,1754,0,229,1525,0,1525,0,4196,0,0,4196,0,4196,0
51,1525041232,229,0,229,0,0,0,0,0,0,0,0,0,0,0
70,1525041232,229,0,229,0,0,0,0,0,0,0,0,0,0,0
79,1525041232,250,0,250,0,0,0,0,0,0,0,0,0,0,0
250,1525041232,38556,31696,1216,5644,0,5644,0,49423,31696,1064,16663,0,16663,0
0.0.0.0,1525041232,381661,63532,52632,265497,0,257295,0,526377,63792,49074,413511,0,406235,0
1,1525041232,31696,31696,0,0,0,0,0,31696,31696,0,0,0,0,0
55,1525041232,10362,0,0,10362,0,10362,0,22861,0,0,22861,0,22861,0
77,1525041232,10248,0,6803,3445,0,153,0,165,0,0,165,0,165,0
166,1525041232,59827,0,229,59598,0,59182,0,101806,0,0,101806,0,101230,0
65,1525041232,28800,0,28800,0,0,0,0,0,0,0,0,0,0,0
255,1525041232,0,0,0,0,0,0,0,38662,0,38662,0,0,0,0
50,1525041232,125119,0,229,124890,0,121020,0,101581,0,0,101581,0,94881,0
251,1525041232,4753,0,4753,0,0,0,0,0,0,0,0,0,0,0
200,1525041232,7766,0,5494,2272,0,2272,0,11650,0,7103,4547,0,4547,0
62,1525041232,7700,0,229,7471,0,7471,0,28028,0,0,28028,0,28028,0
190,1525041232,382,0,229,153,0,153,0,165,0,0,165,0,165,0
63,1525041232,463,0,463,0,0,0,0,0,0,0,0,0,0,0
58,1525041232,3178,0,0,3178,0,3178,0,4547,0,0,4547,0,4547,0
54,1525041232,1754,0,229,1525,0,1525,0,4196,0,0,4196,0,4196,0
51,1525041232,229,0,229,0,0,0,0,0,0,0,0,0,0,0
70,1525041232,229,0,229,0,0,0,0,0,0,0,0,0,0,0
79,1525041232,250,0,250,0,0,0,0,0,0,0,0,0,0,0
250,1525041833,40555,31696,760,8099,0,8099,0,56211,31696,684,23831,0,23831,0
0.0.0.0,1525041833,368359,63532,61423,243404,0,229294,0,420230,63792,60878,295560,0,279476,0
1,1525041833,31696,31696,0,0,0,0,0,31696,31696,0,0,0,0,0
65,1525041833,26694,0,26694,0,0,0,0,0,0,0,0,0,0,0
255,1525041833,0,0,0,0,0,0,0,36540,0,36540,0,0,0,0
55,1525041833,9103,0,229,8874,0,8874,0,18649,0,0,18649,0,18649,0
251,1525041833,4758,0,4758,0,0,0,0,0,0,0,0,0,0,0
77,1525041833,10147,0,6803,3344,0,0,0,0,0,0,0,0,0,0
166,1525041833,58363,0,10798,47565,0,47097,0,63219,400,8471,54348,0,53916,0
50,1525041833,132156,0,229,131927,0,122097,0,112684,0,0,112684,0,97032,0
200,1525041833,8455,0,5899,2556,0,2556,0,15359,0,10833,4526,0,4526,0
53,1525041833,229,0,229,0,0,0,0,0,0,0,0,0,0,0
52,1525041833,229,0,229,0,0,0,0,0,0,0,0,0,0,0
58,1525041833,4651,0,229,4422,0,4422,0,4961,0,0,4961,0,4961,0
190,1525041833,2613,0,229,2384,0,2384,0,4341,0,0,4341,0,4341,0
62,1525041833,2161,0,229,1932,0,1932,0,18833,0,0,18833,0,18833,0
54,1525041833,6145,0,229,5916,0,5916,0,9285,0,0,9285,0,9285,0
63,1525041833,234,0,234,0,0,0,0,0,0,0,0,0,0,0
59,1525041833,229,0,229,0,0,0,0,0,0,0,0,0,0,0
79,1525041833,356,0,0,356,0,356,0,0,0,0,0,0,0,0
250,1525041833,40555,31696,760,8099,0,8099,0,56211,31696,684,23831,0,23831,0
0.0.0.0,1525041833,368359,63532,61423,243404,0,229294,0,420230,63792,60878,295560,0,279476,0
1,1525041833,31696,31696,0,0,0,0,0,31696,31696,0,0,0,0,0
65,1525041833,26694,0,26694,0,0,0,0,0,0,0,0,0,0,0
255,1525041833,0,0,0,0,0,0,0,36540,0,36540,0,0,0,0
55,1525041833,9103,0,229,8874,0,8874,0,18649,0,0,18649,0,18649,0
251,1525041833,4758,0,4758,0,0,0,0,0,0,0,0,0,0,0
77,1525041833,10147,0,6803,3344,0,0,0,0,0,0,0,0,0,0
166,1525041833,58363,0,10798,47565,0,47097,0,63219,400,8471,54348,0,53916,0
50,1525041833,132156,0,229,131927,0,122097,0,112684,0,0,112684,0,97032,0
200,1525041833,8455,0,5899,2556,0,2556,0,15359,0,10833,4526,0,4526,0
53,1525041833,229,0,229,0,0,0,0,0,0,0,0,0,0,0
52,1525041833,229,0,229,0,0,0,0,0,0,0,0,0,0,0
58,1525041833,4651,0,229,4422,0,4422,0,4961,0,0,4961,0,4961,0
190,1525041833,2613,0,229,2384,0,2384,0,4341,0,0,4341,0,4341,0
62,1525041833,2161,0,229,1932,0,1932,0,18833,0,0,18833,0,18833,0
54,1525041833,6145,0,229,5916,0,5916,0,9285,0,0,9285,0,9285,0
63,1525041833,234,0,234,0,0,0,0,0,0,0,0,0,0,0
59,1525041833,229,0,229,0,0,0,0,0,0,0,0,0,0,0
79,1525041833,356,0,0,356,0,356,0,0,0,0,0,0,0,0
250,1525042434,46433,31668,1140,13625,0,13625,0,77379,31668,1064,44647,0,44647,0
